code,display_name,sector,report_year,report_source,E01,E02,E03,E04,E05,E06,E07,E08,S01,S02,S03,S04,S05,S06,S07,S08,G01,G02,G03,G04,G05,G06,G07,G08,notes
ZAMBEEF,Zambeef Products PLC,Agriculture,2024,Zambeef Annual Report 2024 (LuSE + LSE AIM dual-listed),55,52,50,52,55,65,60,58,65,58,60,58,75,58,62,78,75,75,75,55,78,72,45,65,Scope 1 only disclosed (383 tCO2e 2024 vs 572 2021); LTIFR 2.07; 98% Zambian workforce; LuSE CG 97/100
STANBIC_ZM,Stanbic Bank Zambia Limited,Banking,2024,Stanbic Bank Zambia Annual Report 2024,55,70,58,48,52,65,72,65,55,82,58,65,85,62,72,72,90,85,72,60,82,72,75,68,First net-zero smart branch in ZM; USD 55.5M GreenCo green finance; WWF Let's Secure Zambezi 33000 trees; 45% female board; full BoZ CG Directives compliance
ABSA_ZM,Absa Bank Zambia PLC,Banking,2023,Absa Bank Zambia 2023 Annual Report + 2024 Audited Financial Statement (hybrid — 2024 full AR not yet posted),42,65,48,42,45,60,65,58,65,75,52,62,80,68,65,62,88,78,75,65,82,75,72,68,80% NED board independence; F MD + F CFO; Dr Mwape (ex-BoZ Dep Gov) chair; 1m trees with WWF/ZAFFICO by 2025; USD 5m Sustainable Ag Finance facility; COP27+28 presence; 2024 full AR not yet posted
FNB_ZM,First National Bank Zambia Limited,Banking,2024,FNB Zambia Annual Report FY30 June 2024,52,72,58,48,52,62,72,65,60,85,50,65,82,72,62,68,85,85,80,80,80,78,65,72,56% female board (5/9); dedicated ESG Report section; ESRA on all credit clients; Kalumbila solar branch; Green Loans live; COP28 Zambia desk key sponsor; FNB Foundation min 1% NPAT; King IV compliance; 290k customers
PUMA_ZM,Puma Energy Zambia Plc,Energy,2024,Puma Energy Zambia FY2024 Abridged Financials (LuSE SENS 11.03.2025) + Puma Energy Global 2024 Integrated Annual Report,55,60,55,52,55,50,58,55,58,55,62,58,72,62,50,62,55,50,65,45,60,60,55,60,LuSE-listed but abridged-only ESG disclosure (5pp); Chifunabuli rural solar station; LPG +54% volumes (clean cooking); Trafigura-group parent framework (TCFD/SASB/GRI); K77m loss 2024 no dividend; outsourced company secretary
SHOPRITE_ZM,Shoprite Holdings Limited (Zambia operations),Consumer Goods,2024,Shoprite Holdings Integrated Report 2024 (JSE primary + LuSE/A2X/NSX secondary listings; FY52 wks ended 30 June 2024),62,62,65,62,60,45,70,75,62,60,68,70,78,70,70,60,85,78,85,78,82,72,75,78,51 stores in ZM (29 years since 1995); King IV + IFRS S1/S2 + SASB FRD + TCFD + double-materiality; 6.54% renewable; 80709t waste diverted; 12.4% emissions intensity reduction vs 2021/22; female Chair (WE Lucas-Bull) + 10/13 INEDs + 5 Board committees; 40% female/40% black Board targets; Employee Trust 98% black / 69% black women; 7.88m soup kitchen meals incl ZM; ZM-unit-specific collective bargaining % dashed in SASB table
ACCESS_ZM,Access Bank Zambia Limited,Banking,2024,Access Bank Zambia 2024 Full Year Report (95pp image-only PDF — unreadable) + Access Holdings Plc 2024 Annual Report (438pp NGX-listed parent; 22 pages reference ZM operations),50,52,42,42,45,48,52,55,55,52,60,65,70,55,65,50,62,65,60,55,68,62,60,60,63 branches + 9 agencies post-Atlas Mara integration completed 2024; female Chair Anne Sampa + Acting MD Dr Iheanyi Nwogu (BoZ-approved but not substantive); parent group 13.4% operational emissions reduction 2024 + TCFD + GRI + SDG-aligned; ZM CSI: World Vision 60 bicycles + BAZ Initiative solar for 1500+ students + K500k drought relief (500k people) + Early Savers Academy + SME Business Club; awards Brand of the Year Zambia 2024 + Best Social Media Bank; image-only local AR = major transparency penalty; no publicly disclosed board list/committees/INED% for ZM unit
MFS_ZM,Madison Financial Services PLC,Banking,2024,MFS HY 2024 Abridged Financials SENS (01.11.2024 4pp) + FY2022 Abridged SENS (15.05.2024 — 2yr lag) + SEC Zambia MAMCo Supervisory Possession notices,30,30,30,30,45,25,25,35,35,35,35,30,40,35,25,45,40,35,35,30,30,28,30,35,LuSE-listed MFIN ISIN ZM0000000391; MAMCo subsidiary under SEC Supervisory Possession since 2 March 2020 (337 unresolved FIF creditors incl pensioners/charities); consolidated negative equity ZMW -52.9M; company equity -95.3M (worsened 348% YoY); FY reporting 2yr late; only abridged SENS filings no full AR; outsourced CoSec (Jaques and Partners); no board composition disclosed publicly; stated ESG policy framework + A-D lending risk categorisation; 32-year legacy as first private ZM insurer; LSA Group subsidiary; Mgen Tanzania subsidiary
PRIMA_ZM,Prima Reinsurance Plc (now Zambia Reinsurance Plc),Banking,2024,Zambia Reinsurance Plc 2024 Annual Report (104pp full AR; LuSE ticker PRIMA; PIA-regulated; Board approval 25 March 2025),45,48,55,45,48,55,50,52,55,58,50,55,65,50,60,55,82,80,75,72,75,75,70,72,Profit +83% YoY (K28.5M); Revenue +56% (K140.3M); GCR rating upgraded A Stable to A Positive Outlook; solar off-grid transition replacing diesel generators; Climate Risks integrated in ERM; 6/7 directors Independent (~86% INED); female Independent Chairperson Joyce Muwo-Mwansa; 3 Board committees (Audit & Risk / Remuneration / Investment); Whistleblowing + AML/CFT + Code of Conduct policies; IFRS 17 + Insurance Act 2021 compliance; substantive MD transition (Lumbwe to Mateyo 1 Oct 2024) + CFO transition (Chipulu to Miamba 24 Jul 2024); IDC 28.17% + NAPSA 14.27% anchor ownership; Grant Thornton external auditor; outsourced CoSec (Choice Corporate Services); 17 employees small-cap; no quantified GHG/TCFD/SASB/GRI
BAYPORT_ZM,Bayport Financial Services Zambia Limited,Banking,2024,Bayport Management Ltd 2024 SEM Abridged Report (1pp financials) + Bayport Group 2024 ESG Report (46pp Ghana-only — no ZM data) + Bayport Zambia website; no publicly available ZM standalone AR,30,32,35,30,32,35,30,32,40,38,35,40,55,35,42,38,42,55,45,48,50,45,40,45,Parent Bayport Management Ltd (SEM BAYP.mu) USD 80.4M net loss 2024 + USD 117.7M total comprehensive loss; retained earnings collapse +65.4M to -22.7M; equity halved 151.9M to 33.2M; Dec 2024 recapitalisation agreement with creditors (pre-restructuring funding costs + one-time fees); BoZ-regulated microfinance 20yr in ZM; ownership 83.23% parent + 12.77% BFS Ltd + 4% Zambian citizens; not LuSE-listed so no SENS filings; civil servant payroll-deduction loans (financial inclusion narrative); parent ALCO + ARC + Forvis Mazars unmodified audit; outsourced CoSec (Bellerive Corp Mauritius); ethics + whistleblowing on ZM website (shallow); zero ZM-specific ESG disclosure; no public ZM board composition; operating as going concern unlike MFS
UNITRANS_ZM,Unitrans Zambia (KAP Limited division),Energy,2024,KAP Limited 2024 Integrated Report (124pp JSE-listed parent; FY ended 30 June 2024; Board approval 29 Aug 2024); Zambia mentioned once as country list within Unitrans Agriculture sub-segment (~15% of Unitrans revenue across 6 countries),52,55,50,45,45,55,42,50,55,58,50,60,48,55,52,58,70,75,65,68,65,62,60,62,KAP Scope 1+2 GHG 867977 tCO2e fully disclosed & assured by Catalyst Solutions; Unitrans = 79% of KAP Scope 1; diesel consumption -9% YoY via routing algorithms + driver training + data visibility; net-zero 2050 target; JSE Sustainability + SASB + ISSB + IFRS Sustainability Disclosure Standards alignment; Independent Non-Exec Chair Johan Holtzhausen; 2 new INED appointments 2024; King IV compliance; B-BBEE Level 4 (AQRate assured); 75% local procurement to Level 4 suppliers; transparent fatality reporting (1 employee + 1 contractor FY24 at PG Bison); Unitrans fleet 4069 units; Rio Tinto Best Contractor Partner award; CAIA Responsible Care Adopt-a-River runner-up; Unitrans undergoing organisational redesign 2H24; no dividend 2024; ZM operations essentially invisible in parent IR (1 mention); no standalone ZM AR; no LuSE listing; no ZM board disclosed
